ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000030967	4.63503495626e-05	0.000999000999001	0.000212788909304162	24	12	729.9
ENSMUSG00000032112	0.0560531913986	0.709290709291	0.0607909494033179	24	8	153.1
ENSMUSG00000079477	0.00264451617785	0.0929070929071	0.00480710794194229	24	20	265.4
ENSMUSG00000020936	0.00591475928986	0.168831168831	0.00915241683981604	24	2	626.4
ENSMUSG00000028646	0.00543083615082	0.15984015984	0.00853854610918895	24	12	520.1
ENSMUSG00000055204	4.35637613843e-06	0.000287520825136	4.13065193851598e-05	24	12	399.1
ENSMUSG00000022193	0.0535897217898	0.697302697303	0.058460216227519	24	12	927.5
ENSMUSG00000008855	0.00498068198224	0.148851148851	0.00798665288356606	24	12	120.7
ENSMUSG00000025261	0.0328117890404	0.545454545455	0.0381904726288816	24	8	220.3
ENSMUSG00000003346	0.000999493348616	0.036963036963	0.00222696041147811	24	12	237.6
ENSMUSG00000070733	0.0133756825989	0.321678321678	0.0179447477591111	24	2	77.4
ENSMUSG00000020794	0.0560531913986	0.709290709291	0.0607909494033179	24	12	575.3
ENSMUSG00000021266	0.000118879686881	0.00699300699301	0.000424503977967197	24	16	339.9
ENSMUSG00000025156	0.0078352218124	0.204795204795	0.01151510336738	24	12	300.3
ENSMUSG00000030751	0.00721770430702	0.190809190809	0.0107595674971251	24	22	862
ENSMUSG00000026553	0.0195043365244	0.420579420579	0.0245282413133047	24	4	661
ENSMUSG00000028677	0.00498068198224	0.148851148851	0.00798665288356606	24	18	193.2
ENSMUSG00000037373	0.0231690672997	0.467532467532	0.0283488526619401	24	8	260.5
ENSMUSG00000040688	0.061980510213	0.741258741259	0.0664209391444344	24	0	183.5
ENSMUSG00000028759	0.00920224365326	0.228771228771	0.0132018167798083	24	22	138.5
ENSMUSG00000025261	0.103237559086	0.894105894106	0.105532300034715	24	6	542.7
ENSMUSG00000018585	0.01411583319	0.33966033966	0.0187682265361725	24	10	422.5
ENSMUSG00000020936	0.00256061460622	0.0889110889111	0.00467061404418479	24	12	280.4
ENSMUSG00000067851	0.0626836614271	0.743256743257	0.0671188780545518	24	16	580
ENSMUSG00000022100	0.000900226730687	0.032967032967	0.00204274645560025	24	18	532.4
ENSMUSG00000025261	0.000212489751779	0.00899100899101	0.000662472484259399	24	20	381.7
ENSMUSG00000025224	1.5833612729e-05	0.000999000999001	9.83392220962198e-05	24	20	659.2
ENSMUSG00000034820	0.0231690672997	0.467532467532	0.0283488526619401	24	12	299
ENSMUSG00000022770	3.72172168494e-06	0.000245633631206	3.7220860167213e-05	24	6	1196.5
ENSMUSG00000028759	0.000188359799998	0.00899100899101	0.000599473877819438	24	8	826.3
ENSMUSG00000005442	0.00928533411908	0.22977022977	0.0132884169753127	24	12	156.5
ENSMUSG00000071415	0.0145933145797	0.342657342657	0.0193469347575185	24	22	81.1
ENSMUSG00000008855	5.7041281854e-05	0.001998001998	0.000246314196122983	24	18	360.4
ENSMUSG00000030058	6.41791677397e-06	0.000423582507082	5.32327763897832e-05	24	16	780.6
ENSMUSG00000008855	0.128218139326	0.951048951049	0.129379540765846	24	6	261.5
ENSMUSG00000001158	0.0148936959956	0.347652347652	0.0196593399597848	24	16	250.7
ENSMUSG00000001289	0.0247994035688	0.481518481518	0.0300580382097409	24	0	388.1
ENSMUSG00000008855	0.000294942108959	0.010989010989	0.000854209423792667	24	16	163.6
ENSMUSG00000068328	0.00591475928986	0.168831168831	0.00915241683981604	24	12	1002.4
ENSMUSG00000005442	0.00158567514068	0.0609390609391	0.00318831450118294	24	18	232.1
ENSMUSG00000040688	0.00898688283532	0.228771228771	0.0129034067276537	24	12	444.4
ENSMUSG00000008855	0.00950420479882	0.236763236763	0.0134899451864404	24	12	127.6
ENSMUSG00000022898	0.0307620623285	0.521478521479	0.0362596089363887	24	16	195.9
ENSMUSG00000025224	4.02271056068e-06	0.000265498897005	3.9346914600665e-05	24	22	1115.6
ENSMUSG00000020459	0.08702857063	0.861138861139	0.0901259862330918	24	2	147.6
ENSMUSG00000034820	0.0160319103553	0.366633366633	0.0208285504485135	24	8	132.6
ENSMUSG00000021266	0.00626810236879	0.172827172827	0.0096004292296428	24	20	602.2
ENSMUSG00000008855	0.0372216230489	0.582417582418	0.042598966298578	24	12	454.6
ENSMUSG00000026810	0.0328117890404	0.545454545455	0.0381904726288816	24	14	364.7
ENSMUSG00000021282	0.090675568908	0.875124875125	0.0935678327634629	24	6	432.1
ENSMUSG00000027598	7.53380947163e-05	0.002997002997	0.000303786712053335	24	12	691.9
ENSMUSG00000005982	3.177824589e-06	0.000209736422874	3.34756121595912e-05	24	14	998.7
ENSMUSG00000026553	0.00664410110689	0.178821178821	0.0100756968619862	24	0	812.9
ENSMUSG00000024309	0.0745247925817	0.796203796204	0.0783596155851002	24	10	596.5
ENSMUSG00000008855	0.000112618633837	0.00699300699301	0.000409126038181559	24	16	276.4
ENSMUSG00000024414	0.0102842039854	0.251748251748	0.0144105603944684	24	12	400.4
ENSMUSG00000030058	1.10224371544e-06	7.27480852188e-05	1.78573676157682e-05	24	14	741.4
ENSMUSG00000024740	0.00232862927072	0.0809190809191	0.00433203239467381	24	8	736.1
ENSMUSG00000008855	0.00591475928986	0.168831168831	0.00915241683981604	24	4	188.6
ENSMUSG00000032112	0.0126716070327	0.2997002997	0.0171700135460741	24	4	322.1
ENSMUSG00000040688	0.150573092739	0.967032967033	0.151114589762336	24	8	300.7
ENSMUSG00000014355	0.0260768936294	0.497502497502	0.0313504836153824	24	0	168.9
ENSMUSG00000040688	0.00198719525491	0.0709290709291	0.00381858693819091	24	16	165.1
ENSMUSG00000040688	0.00381270555834	0.123876123876	0.00643521808259201	24	12	210.5
ENSMUSG00000022100	0.0793250551595	0.821178821179	0.0828188378797297	24	12	690.6
ENSMUSG00000026965	0.00829197816992	0.20979020979	0.0120593563958785	24	8	202.2
ENSMUSG00000020794	0.0434770113807	0.636363636364	0.0486737985725397	24	10	407.9
ENSMUSG00000022770	3.03826158935e-05	0.000999000999001	0.000156501315764637	24	8	754.2
ENSMUSG00000010406	1.82814353685e-05	0.000999000999001	0.000108969779072724	24	22	348.9
ENSMUSG00000028677	0.000316126884545	0.013986013986	0.000899734682747812	24	4	636.8
ENSMUSG00000022770	2.31063896947e-06	0.000152502171985	2.80359050455752e-05	24	4	697.7
ENSMUSG00000021327	2.21839480373e-08	1.46414057046e-06	3.20466703470596e-06	24	18	1277.6
ENSMUSG00000025224	7.97525058672e-05	0.002997002997	0.000316225621973076	24	2	467.2
ENSMUSG00000026553	5.50445254417e-06	0.000363293867915	4.82689608370978e-05	24	16	1133.2
ENSMUSG00000014355	0.00218770919462	0.0779220779221	0.00410947192346041	24	20	213.9
ENSMUSG00000067851	0.058614209437	0.717282717283	0.0633569594403727	24	18	496.2
ENSMUSG00000024740	0.000175509873701	0.00899100899101	0.000570006507997355	24	8	800.7
ENSMUSG00000026553	0.0449394914485	0.638361638362	0.0502043673973158	24	0	117.4
ENSMUSG00000071659	0.00337843337115	0.112887112887	0.0058485185120371	24	14	571.6
ENSMUSG00000020368	0.0593022932511	0.726273726274	0.0638692096158457	24	16	1727.6
ENSMUSG00000004207	0.00498068198224	0.148851148851	0.00798665288356606	24	16	798.1
ENSMUSG00000025261	0.026517864644	0.4995004995	0.0318478931889354	24	8	612.7
ENSMUSG00000028759	0.0181667181139	0.406593406593	0.0231056622358668	24	14	167.7
ENSMUSG00000032803	0.0593022932511	0.726273726274	0.0638692096158457	24	12	117.1
ENSMUSG00000020708	0.0130931159927	0.310689310689	0.0176606199666144	24	18	156.7
ENSMUSG00000022770	0.0144121736652	0.342657342657	0.019119174636451	24	4	152.8
ENSMUSG00000022365	0.00106681868972	0.03996003996	0.00233949353072928	24	12	1327.1
ENSMUSG00000026878	0.00180075162881	0.0639360639361	0.00354405185956	24	6	901.7
ENSMUSG00000004207	0.0476996618063	0.648351648352	0.0528869557133298	24	14	1364.5
ENSMUSG00000029405	0.00575805764379	0.163836163836	0.008973026409695	24	18	146.5
ENSMUSG00000020794	0.0505822358957	0.673326673327	0.0555945050650136	24	8	664
ENSMUSG00000024740	0.000510590281514	0.01998001998	0.00131091070727971	24	8	484.9
