ID	CT22	CT28	CT34	CT40	CT46	CT52	CT58	CT64
ENSMUSG00000049892	97.7	97.9	111.5	105.9	126.4	105.1	105.2	93.6
ENSMUSG00000050901	38.4	35.3	39.3	33.7	35.4	35.8	35.5	35.6
ENSMUSG00000050965	441.2	430.8	441.9	442.2	476.5	429.8	443.8	442.2
ENSMUSG00000051177	466.3	460.8	411.2	435.1	462.8	402.9	437.8	444.4
ENSMUSG00000051331	354.3	344.1	325	322.4	324.2	306	310.1	308.8
ENSMUSG00000052889	1153.9	1226.6	1227.7	1187.7	1156.6	1144.1	1201.8	1171.4
ENSMUSG00000052920	118	127.3	118.2	119	117.3	116.4	108.8	113.5
ENSMUSG00000053819	1007.2	1100.8	1061.2	1133.3	1070	1075.7	1092	1080.4
ENSMUSG00000054764	19.9	20.7	22.4	20.2	19.2	20.9	21.8	21.1
ENSMUSG00000055866	148.1	149.4	216	225.4	160.8	151	210.4	197.5
ENSMUSG00000057378	217.1	196	188.5	188.6	205.2	184.9	180.1	191.1
ENSMUSG00000057614	1386.8	1364.3	1391.5	1460.4	1426.6	1328.5	1359.5	1442.5
ENSMUSG00000057897	1834.4	1968	1837.9	1808.9	1874	1815	1833.2	1745.5
ENSMUSG00000059003	479.3	468.4	424.2	424.5	438.3	428.7	433.1	405.6
ENSMUSG00000063065	1155.9	1184.4	1178.7	1147.9	1205	1211.6	1185.3	1148.8
ENSMUSG00000063130	29.6	31.6	34.4	33.8	31.5	39.9	35.5	33.7
ENSMUSG00000063358	1953.1	1880.1	1854.1	2013.6	1875.2	1886	1999.8	1998.7
ENSMUSG00000063594	80.4	79.6	82.5	82.3	82.2	76.7	81.4	77.8
ENSMUSG00000068523	210.2	281.3	260.3	312.7	290.7	258.7	297.8	259.6
ENSMUSG00000068523	56.6	76.4	65.7	92	83.5	63.3	89.5	66.6
ENSMUSG00000099269	23.1	21.9	22.1	20.6	21.2	21.7	19.6	22.2
