ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSPANG00000000040	0.152590458988028	0.950405290511007	0.307049540202931	21.3333333333333	17.7657123804399	4.94988335622698
ENSPANG00000000041	0.459023957331249	0.999984314485048	0.513602606552991	22	10.9931690541648	3.46999159905134
ENSPANG00000000053	0.134270668406953	0.997687550398838	0.307049540202931	23.0702426564496	19.2765650529147	0.182735314768701
ENSPANG00000000059	0.0863171145983646	0.998272635375036	0.256549356905058	23.7446808510638	9.09065717583569	0.441106660678329
ENSPANG00000000060	0.115950877825878	0.999008497431515	0.281280576919266	24.6666666666667	16.7865620190286	1.18172806669901
ENSPANG00000000062	0.380704803491262	0.999936124592656	0.461543613313186	24.6666666666667	5.06830692487875	3.21270225394428
ENSPANG00000000063	0.196949943382235	0.778075581501797	0.332617179059697	22.4781541482573	1.33689470624461	0.102512334348174
ENSPANG00000000071	0.380704803491262	0.999909126724815	0.461543613313186	21.6296296296296	12.3327373798571	4.862793818876
ENSPANG00000000072	0.249579521237507	0.958369128446585	0.370786148143511	21.231884057971	4.37904380870017	0.42828886006891
ENSPANG00000000085	0.0053803077066966	0.0106275663459531	0.131028894361945	20.4113475177305	1.9851513704837	27.2950431069472
ENSPANG00000000090	0.0628691469924109	0.790628474536706	0.232463490350524	22.6666666666667	11.8468436473414	0.445861539299922
ENSPANG00000000093	0.0053803077066966	0.0241133696410879	0.131028894361945	21.3333333333333	13.9696330038042	3.52644739099868
ENSPANG00000000094	0.374097066769311	0.912917119985211	0.461543613313186	26	17.3028743538665	0.0268057816304274
ENSPANG00000000102	0.459023957331249	0.999999218977197	0.513602606552991	24.6666666666667	3.79181913048767	0.450723095390881
ENSPANG00000000103	0.152590458988028	0.999593274106726	0.307049540202931	23.6730038022814	7.82029267867149	0.957616417468828
ENSPANG00000000112	0.000369453880738603	0.0443837138561202	0.0810848384839742	23.3849607182941	14.0104465801827	1.12245127145716
ENSPANG00000000116	0.419864380411255	0.999997374115971	0.49681349056655	25.3333333333333	16.9849487411668	0.0256251775437045
ENSPANG00000000117	0.174770201185132	0.995559911763457	0.332617179059697	20.8939393939394	8.48852479644875	0.0569111394600415
ENSPANG00000000122	0.0137707681978515	0.277226941025458	0.159623485939902	22.5245901639344	21.1749707475813	1.98950323439022
ENSPANG00000000123	0.545204700777617	0.999631516899057	0.565317654165988	25.3333333333333	21.6661381444763	0.00931307405505639
ENSPANG00000000126	0.0053803077066966	0.269298205321096	0.131028894361945	22.6201550387597	6.2866069684722	1.06359095849492
ENSPANG00000000127	0.115950877825878	0.634427310831933	0.281280576919266	24.6666666666667	8.82079541313415	631.094036605304
ENSPANG00000000131	0.310810013995778	0.999469120225093	0.411833596746023	23.0074547390841	1.61999995630896	14.770754921342
ENSPANG00000000132	0.310810013995778	0.967947791615029	0.411833596746023	22.6666666666667	4.48093489884365	0.0706211856274149
ENSPANG00000000141	0.115950877825878	0.943921236263076	0.281280576919266	24.6433276868059	0.624932367328925	3.15342785637119
ENSPANG00000000142	0.380704803491262	0.999954957425978	0.461543613313186	24	20.6475978342611	0.461230681041664
ENSPANG00000000147	0.115950877825878	0.943030514872007	0.281280576919266	25.974025974026	13.7599179141141	26.0680186946692
ENSPANG00000000148	0.502114329054433	0.992380170911852	0.539143728446857	22	6.54633244591546	0.0225037978565008
ENSPANG00000000171	0.788946947150072	0.99846206053414	0.789263644927746	25.4285714285715	13.205273742307	0.0229769860691161
ENSPANG00000000174	0.0260152972349153	0.301030774264662	0.191540545034304	24.8015564202334	24.41043552441	0.0774283014664486
ENSPANG00000000175	0.0310502428384373	0.837709926853188	0.191540545034304	21.3333333333333	15.2143986594878	8.44295551858095
