ID	pvalue_mean	pvalue_brown	pvalue_fisher	pvalue_kost	pvalue_logitp	pvalue_sumlog	pvalue_sump	pvalue_sumz	algorithm
ENSMUSG00000000001	0.0344168248996378	0.0344168248996378	0.0344168248996378	0.0344168248996378	0.0344168248996378	0.0344168248996378	0.0344168248996378	0.0344168248996378	ARS
ENSMUSG00000001175	0.00201744095399037	0.00201744095399037	0.00201744095399037	0.00201744095399037	0.00201744095399037	0.00201744095399037	0.00201744095399037	0.00201744095399037	ARS
ENSMUSG00000001986	0.836629192987988	0.836629192987988	0.836629192987988	0.836629192987988	0.836629192987988	0.836629192987988	0.836629192987988	0.836629192987988	ARS
ENSMUSG00000002771	0.0184776279674208	0.0184776279674208	0.0184776279674208	0.0184776279674208	0.0184776279674208	0.0184776279674208	0.0184776279674208	0.0184776279674208	ARS
ENSMUSG00000005034	0.0533140614513841	0.0533140614513841	0.0533140614513841	0.0533140614513841	0.0533140614513841	0.0533140614513841	0.0533140614513841	0.0533140614513841	ARS
ENSMUSG00000005469	0.427705319642236	0.427705319642236	0.427705319642236	0.427705319642236	0.427705319642236	0.427705319642236	0.427705319642236	0.427705319642236	ARS
ENSMUSG00000005580	0.270986421226557	0.270986421226557	0.270986421226557	0.270986421226557	0.270986421226557	0.270986421226557	0.270986421226557	0.270986421226557	ARS
ENSMUSG00000015968	0.421560421605963	0.421560421605963	0.421560421605963	0.421560421605963	0.421560421605963	0.421560421605963	0.421560421605963	0.421560421605963	ARS
ENSMUSG00000019370	0.446043433625344	0.446043433625344	0.446043433625344	0.446043433625344	0.446043433625344	0.446043433625344	0.446043433625344	0.446043433625344	ARS
ENSMUSG00000020431	0.30082095950981	0.30082095950981	0.30082095950981	0.30082095950981	0.30082095950981	0.30082095950981	0.30082095950981	0.30082095950981	ARS
ENSMUSG00000020524	0.70666740397499	0.70666740397499	0.70666740397499	0.70666740397499	0.70666740397499	0.70666740397499	0.70666740397499	0.70666740397499	ARS
ENSMUSG00000020654	0.608325166209839	0.608325166209839	0.608325166209839	0.608325166209839	0.608325166209839	0.608325166209839	0.608325166209839	0.608325166209839	ARS
ENSMUSG00000020734	0.439373709426672	0.439373709426672	0.439373709426672	0.439373709426672	0.439373709426672	0.439373709426672	0.439373709426672	0.439373709426672	ARS
ENSMUSG00000020866	0.294427521794307	0.294427521794307	0.294427521794307	0.294427521794307	0.294427521794307	0.294427521794307	0.294427521794307	0.294427521794307	ARS
ENSMUSG00000020893	0.0128035828685183	0.0128035828685183	0.0128035828685183	0.0128035828685183	0.0128035828685183	0.0128035828685183	0.0128035828685183	0.0128035828685183	ARS
ENSMUSG00000021180	0.0158748684670157	0.0158748684670157	0.0158748684670157	0.0158748684670157	0.0158748684670157	0.0158748684670157	0.0158748684670157	0.0158748684670157	ARS
ENSMUSG00000021250	0.94334035144284	0.94334035144284	0.94334035144284	0.94334035144284	0.94334035144284	0.94334035144284	0.94334035144284	0.94334035144284	ARS
ENSMUSG00000021313	0.00182762253933999	0.00182762253933999	0.00182762253933999	0.00182762253933999	0.00182762253933999	0.00182762253933999	0.00182762253933999	0.00182762253933999	ARS
ENSMUSG00000021536	0.0775375182791054	0.0775375182791054	0.0775375182791054	0.0775375182791054	0.0775375182791054	0.0775375182791054	0.0775375182791054	0.0775375182791054	ARS
ENSMUSG00000021820	0.0418206638753196	0.0418206638753196	0.0418206638753196	0.0418206638753196	0.0418206638753196	0.0418206638753196	0.0418206638753196	0.0418206638753196	ARS
ENSMUSG00000021933	0.735271068212235	0.735271068212235	0.735271068212235	0.735271068212235	0.735271068212235	0.735271068212235	0.735271068212235	0.735271068212235	ARS
ENSMUSG00000022220	0.0107040014506191	0.0107040014506191	0.0107040014506191	0.0107040014506191	0.0107040014506191	0.0107040014506191	0.0107040014506191	0.0107040014506191	ARS
ENSMUSG00000022376	0.574183926141679	0.574183926141679	0.574183926141679	0.574183926141679	0.574183926141679	0.574183926141679	0.574183926141679	0.574183926141679	ARS
ENSMUSG00000022416	0.430282235638959	0.430282235638959	0.430282235638959	0.430282235638959	0.430282235638959	0.430282235638959	0.430282235638959	0.430282235638959	ARS
ENSMUSG00000022840	0.306952062746879	0.306952062746879	0.306952062746879	0.306952062746879	0.306952062746879	0.306952062746879	0.306952062746879	0.306952062746879	ARS
ENSMUSG00000022994	0.40885026971076	0.40885026971076	0.40885026971076	0.40885026971076	0.40885026971076	0.40885026971076	0.40885026971076	0.40885026971076	ARS
ENSMUSG00000023439	0.242677757803111	0.242677757803111	0.242677757803111	0.242677757803111	0.242677757803111	0.242677757803111	0.242677757803111	0.242677757803111	ARS
ENSMUSG00000024112	0.557240475176559	0.557240475176559	0.557240475176559	0.557240475176559	0.557240475176559	0.557240475176559	0.557240475176559	0.557240475176559	ARS
