ID	ZT00	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21
FBgn0000008	4.852	5.215	4.281	9.32	7.119	2.778	7.372	5.757
FBgn0000008	4.663	5.024	4.115	8.958	6.904	2.769	7.086	5.533
FBgn0000014	0.039	0.072	3.509	0	0.056	0	0.016	0.358
FBgn0000015	0	0.015	4.928	0	0	0.135	0	1.598
FBgn0000015	0	0.011	3.954	0.102	0.047	0.101	0.036	1.347
FBgn0000015	0	0.015	4.581	0	0	0.129	0	1.501
FBgn0000015	0	0.016	5.202	0	0	0.145	0	1.67
FBgn0000017	29.567	30.238	9.128	32.154	27.914	1.812	34.597	32.36
FBgn0000017	29.026	29.258	8.847	30.974	27.273	1.756	34.245	31.754
FBgn0000017	28.535	29.134	8.881	30.93	26.89	1.739	33.372	31.183
FBgn0000018	6.931	6.079	9.079	6.577	8.109	4.577	6.383	5.919
FBgn0000022	0	0	0	0	0	0	0	0
FBgn0000024	38.413	44.343	10.498	46.199	43.57	9.148	33.101	32.828
FBgn0000024	37.999	41.531	10.178	48.056	43.077	5.132	33.857	34.183
FBgn0000028	3.737	3.792	3.572	3.175	3.447	0	3.736	3.35
FBgn0000028	4.385	4.396	2.998	3.801	3.955	0.711	4.216	3.641
FBgn0000028	3.635	3.715	3.474	3.088	3.352	0	3.634	3.285
FBgn0000028	3.693	3.774	3.53	3.137	3.406	0	3.65	3.337
FBgn0000032	8.819	8.861	11.627	9.793	8.722	7.596	10.215	9.397
FBgn0000032	8.945	9.142	11.832	9.771	8.973	7.384	10.279	9.535
FBgn0000038	88.196	105.025	5.126	110.028	95.619	53.853	99.8	95.357
FBgn0000042	554.057	572.885	1222.079	726.213	752.29	287.424	732.744	617.033
FBgn0000044	847.905	1183.742	1316.067	1130.336	878.275	505.29	704.812	947.926
FBgn0000045	35.489	40.372	147.185	36.64	24.019	28.325	33.205	71.467
FBgn0000045	36.596	42.009	152.109	38.475	24.982	29.743	34.703	73.891
FBgn0000047	1.232	1.793	39.189	3.051	0.972	2.098	2.121	1.848
FBgn0000052	642.916	406.402	156.077	56.566	124.523	34.06	91.674	120.493
FBgn0000052	638.884	403.864	155.132	56.209	123.824	33.846	91.135	119.771
FBgn0000052	645.806	407.788	156.299	56.328	124.636	34.029	92.018	120.647
FBgn0000055	6024.535	6349.001	2578.109	7983.841	10028.175	10037.867	5116.658	5317.077
FBgn0000056	6024.535	6349.001	2578.109	7983.841	10028.175	10037.867	5116.658	5317.077
FBgn0000056	20.36	21.055	13.761	12.978	14.421	6.159	22.982	17.963
FBgn0000057	23.619	25.287	23.321	26.51	24.428	14.585	22.158	20.361
FBgn0000061	0.287	0.478	0.428	0.809	0.532	0	0.797	0.401
FBgn0000063	3.187	3.578	3.443	3.862	3.241	3.125	2.528	2.077
FBgn0000064	860.876	951.787	875.249	968.861	992.519	351.534	779.57	801.366
FBgn0000064	739.91	816.723	780.033	843.997	855.425	323.611	674.164	691.793
FBgn0000064	894.798	992.283	919.892	1004.9	1037.82	305.406	810.57	843.83
FBgn0000064	840.911	929.296	877.851	961.792	974.029	368.952	764.957	786.697
FBgn0000064	1041.09	1156.158	1069.373	1172.801	1207.539	355.128	942.936	982.512
FBgn0000071	2.984	3.822	0.45	0	0.581	0	0.666	0.802
FBgn0000075	2.195	1.356	1.245	2.717	1.567	3.47	3.921	2.981
FBgn0000077	14.772	13.976	13.13	10.001	13.507	13.264	12.344	14.459
FBgn0000079	99.592	95.275	1087.787	43.513	64.048	47.233	60.885	68.687
FBgn0000083	265.112	276.204	309.872	276.102	330.697	236.434	268.359	258.201
FBgn0000083	241.807	251.716	282.336	251.332	301.427	215.222	244.805	235.252
FBgn0000083	223.172	232.673	255.656	228.96	277.459	192.709	223.454	212.602
FBgn0000084	115.723	116.208	79.7	126.214	133.4	143.47	112.378	117.161
FBgn0000092	0.818	1.334	6.614	3.849	2.994	4.255	3.095	2.97
FBgn0000094	0	0	628.98	0	0	0	0	0.603
FBgn0000097	8.679	9.528	8.306	12.301	9.751	3.674	11.342	10.392
FBgn0000097	9.22	9.913	9.21	12.183	10.298	4.139	11.995	10.931
FBgn0000108	78.688	99.86	3.518	112.486	95.885	39.527	135.281	113.743
FBgn0000108	81.074	103.224	3.738	124.333	100.549	10.945	147.07	122.69
FBgn0000108	82.033	104.54	3.796	125.746	101.336	11.124	147.226	123.583
FBgn0000109	15.496	17.818	26.459	14.829	22.223	44.312	16.112	18.855
FBgn0000114	15.936	16.806	77.781	17.009	16.606	3.481	15.647	14.774
FBgn0000114	13.512	15.261	61.269	13.841	14.223	6.569	13.968	12.616
FBgn0000114	17.009	17.717	61.902	17.426	17.728	5.707	15.764	15.122
FBgn0000114	18.171	18.884	70.408	18.938	19.113	4.335	16.972	16.475
FBgn0000116	582.692	608.801	375.711	707.114	607.153	352.487	585.332	651.086
FBgn0000116	894.285	937.551	560.576	1077.318	930.987	558.288	898.846	1009.311
FBgn0000116	636.867	664.151	413.054	776.098	662.83	390.112	640.289	712.741
FBgn0000120	1872.526	1987.514	2.33	2965.292	2248.255	3015.809	2287.338	2019.215
FBgn0000121	10552.811	9954.099	0.388	10973.329	9689.071	7851.305	9262.945	9714.084
FBgn0000139	56.015	56.781	45.959	35.877	38.845	46.092	36.102	40.099
FBgn0000150	784.425	701.916	1030.576	893.847	944.381	2905.204	724.206	841.843
FBgn0000157	10.725	12.718	2.144	16.22	13.675	2.656	13.355	11.535
FBgn0000157	9.495	11.583	1.927	14.327	12.158	3.519	11.83	10.191
FBgn0000158	0.103	0.054	0.772	0.243	0.148	0.239	0	0.028
FBgn0000163	11.254	11.823	12.214	13.847	11.408	2.242	14.668	12.826
FBgn0000166	0	0	0	0	0	0	0	0
FBgn0000166	0	0	0	0	0	0	0	0
FBgn0000166	0	0	0	0	0	0	0	0
FBgn0000166	0	0	0	0	0	0	0	0
FBgn0000173	54.859	60.446	39.681	54.746	52.554	56.948	58.954	58.155
FBgn0000173	103.085	108.042	77.528	109.841	94.048	37.485	109.745	107.305
FBgn0000179	4.874	5.603	0.43	9.639	5.666	1.85	7.685	6.648
FBgn0000180	3.111	3.444	1.485	3.993	3.097	1.307	3.085	2.941
FBgn0000181	337.634	316.79	402.456	304.046	342.851	388.411	288.858	299.477
FBgn0000182	0.028	0	21.316	0	0	0	0	0
FBgn0000182	0.026	0	19.521	0	0	0	0	0
FBgn0000183	12.58	13.512	9.488	15.047	12.793	8.193	15.584	13.841
FBgn0000183	13.921	14.69	12.468	17.984	13.745	1.29	18.918	16.428
FBgn0000183	14.296	14.661	12.04	17.226	13.8	4.145	18.335	15.939
FBgn0000227	0.076	0	0	0	0	0.353	0	0
FBgn0000228	19.101	20.149	9.701	16.874	17.598	6.231	18.516	18.027
FBgn0000229	52.961	57.921	19.268	49.902	55.615	75.88	59.012	56.199
FBgn0000244	57.078	57.9	56.106	46.572	49.744	21.522	45.333	47.777
FBgn0000244	36.126	36.849	35.58	29.991	31.704	13.583	29.019	30.327
FBgn0000244	39.169	39.702	38.419	32.491	34.279	14.271	31.287	32.851
FBgn0000246	2.474	3.291	1.588	1.878	3.619	1.845	2.448	1.953
FBgn0000250	134.601	124.611	92.733	79.809	89.273	46.032	78.501	92.453
FBgn0000250	127.483	117.974	87.794	75.558	84.518	43.58	74.362	87.528
FBgn0000250	132.11	122.848	90.699	78.247	87.767	45.598	77.011	90.293
FBgn0000251	0.164	0.321	26.404	0.386	0.527	0.379	0.101	1.17
FBgn0000251	0.161	0.336	25.859	0.378	0.517	0.372	0.099	1.145
FBgn0000251	0.176	0.344	27.836	0.413	0.564	0.406	0.108	1.227
FBgn0000253	444.629	487.523	152.763	406.058	448.207	240.79	431.263	415.184
FBgn0000256	22.806	24.934	60.023	26.271	25.17	13.483	29.129	25.814
FBgn0000256	21.806	23.249	53.624	24.574	23.613	11.682	28.349	24.541
FBgn0000256	23.044	25.3	60.77	27.207	25.769	13.825	29.566	26.026
FBgn0000256	24.462	27.877	64.967	28.933	27.889	16.243	31.561	27.637
FBgn0000256	23.797	25.438	57.175	26.953	25.975	12.992	30.872	26.574
FBgn0000257	13.473	13.941	10.093	17.104	12.978	4.779	12.385	13.218
FBgn0000257	13.113	13.5	9.848	16.382	12.523	4.663	11.977	12.844
FBgn0000259	39.005	41.99	34.19	41.949	38.434	3.091	41.84	41.053
FBgn0000259	35.474	38.551	32.183	43.201	35.686	5.305	38.746	37.818
FBgn0000259	19.162	21.182	19.103	21.926	19.404	5.234	20.412	19.861
FBgn0000259	15.701	17.391	15.326	17.768	15.823	5.053	16.772	16.157
FBgn0000274	0.154	0.121	25.661	0	0	0	0.189	0.041
FBgn0000274	0.154	0.12	25.604	0	0	0	0.188	0.041
FBgn0000278	0.257	0	1.066	0	1.468	0	0	0.415
FBgn0000279	0.271	0.565	13.461	3.819	30.524	10.005	1.107	0.437
FBgn0000286	24.164	24.43	25.505	26.675	25.01	7.395	28.948	24.677
FBgn0000286	24.118	24.6	25.435	26.982	25.234	7.483	28.884	24.775
FBgn0000286	23.418	23.673	24.756	25.814	24.267	7.608	27.705	23.976
FBgn0000289	35.881	36.441	21.294	45.679	36.183	3.79	42.468	39.65
FBgn0000289	35.293	35.702	20.693	44.545	35.307	3.874	41.512	38.811
FBgn0000289	33.29	33.87	20.03	42.305	33.38	3.551	39.518	37.014
FBgn0000303	25.273	27.797	1.396	31.068	30.045	16.398	35.053	32.989
FBgn0000307	11.793	13.239	6.069	12.216	12.932	4.049	15.416	14.5
FBgn0000307	10.272	11.873	5.225	10.675	11.306	1.821	14.06	13.361
FBgn0000308	240.044	257.579	369.244	264.876	272.268	190.004	234.95	241.623
FBgn0000308	277.782	303.393	432.933	311.703	312.403	229.431	277.349	284.619
FBgn0000308	185.853	204.155	288.185	207.596	211.539	162.842	187.997	191.655
FBgn0000316	19.142	18.293	16.456	18.325	19.378	32.176	17.657	18.249
FBgn0000316	14.712	14.844	12.931	15.46	15.828	10.881	14.682	14.057
FBgn0000317	5.159	5.087	5.261	6.186	5.531	1.85	8.276	7.563
FBgn0000318	213.577	213.334	196.924	159.742	265.886	428.717	158.792	159.505
FBgn0000318	209.641	210.145	194.601	156.943	261.125	419.999	156.663	156.813
FBgn0000319	59.85	59.178	56.484	64.894	60.727	22.823	75.497	70.751
FBgn0000319	60.315	59.648	56.927	65.231	61.025	23.064	75.87	71.13
FBgn0000320	14.237	14.632	4.443	19.055	19.397	4.752	19.137	17.44
FBgn0000320	14.986	15.395	4.764	19.762	19.817	5.125	19.706	18.16
FBgn0000330	17.045	17.516	13.697	23.071	19.756	25.633	17.284	18.772
FBgn0000339	32.529	38.494	31.91	27.593	39.257	44.474	35.152	37.204
FBgn0000351	0.849	1.022	1.245	0.922	1.398	1.207	1.228	0.702
FBgn0000351	0.814	0.98	1.194	0.883	1.341	1.157	1.177	0.673
FBgn0000352	5.092	5.948	2.354	5.914	5.601	2.003	7.321	6.468
FBgn0000355	0.807	0.211	3.847	0.949	0.576	0	0.33	0.108
FBgn0000357	4.315	4.337	3.578	7.52	5.249	11.082	2.745	3.18
FBgn0000359	0	0.048	0	0.436	0	0	0	0
FBgn0000360	0	0	0.231	0	0.199	0	0	0.05
FBgn0000370	397.554	450.433	280.873	445.806	438.061	366.591	406.948	434.945
FBgn0000370	669.725	752.839	463.984	711.45	722.18	495.34	667.044	721.551
FBgn0000376	11.548	12.352	5.501	11.946	9.708	3.407	10.227	10.233
FBgn0000377	19.004	17.57	16.456	20.01	17.239	21.092	17.646	16.867
FBgn0000382	46.131	50.072	15.878	49.281	40.087	11.869	54.061	49.094
FBgn0000382	62.213	66.641	26.21	64.655	52.024	9.656	75.858	68.105
FBgn0000382	43.852	47.26	15.925	45.626	37.438	11.019	50.884	46.376
FBgn0000392	2.581	2.748	41.325	2.915	3.815	6.681	3.673	2.956
