ID	ZT24	ZT28	ZT32	ZT36	ZT40	ZT44	ZT48	ZT52	ZT56	ZT60	ZT64	ZT68
ENSDART00000000004	254.7958	167.2976	319.8331	214.368	298.7243	220.3468	282.3617	376.5226	357.0568	561.9394	150.2934	298.2866
ENSDART00000000005	315.2796	211.0732	295.9016	242.1611	442.4697	200.587	159.8043	241.6959	403.8493	117.3929	104.0319	155.4579
ENSDART00000000042	50.9507	78.6126	29.7629	47.0542	71.1998	92.0124	19.5531	26.5546	43.2323	57.4264	46.2697	68.297
ENSDART00000000069	2056.2445	3389.3892	1848.0995	2589.7767	2840.6401	1369.0909	4494.1159	1875.2567	2064.2281	681.9068	1170.8419	2550.7523
ENSDART00000000070	7695.6726	5488.7324	10379.0194	8539.5519	17132.2816	6820.8811	7419.4008	8522.4515	10184.7204	7232.7592	5257.0981	4726.662
ENSDART00000000087	260.7993	454.1972	103.1664	476.5587	166.97	252.329	336.3914	377.0259	101.6472	61.1721	92.7326	110.8149
ENSDART00000000160	641.9033	715.1202	618.6023	412.5411	472.5238	552.4747	849.7726	544.1455	543.0539	148.0488	327.3515	793.2171
ENSDART00000000192	74.0486	81.4783	191.523	83.9565	60.5668	150.4466	111.6969	73.504	84.9187	88.4389	103.5375	87.9663
ENSDART00000000198	85.0527	172.2786	61.8712	122.1896	107.0136	81.9441	64.6256	103.5021	28.027	63.376	112.1166	136.1798
ENSDART00000000221	5322.9584	5022.234	5354.2051	4098.1201	11425.563	11464.9667	5270.7362	5459.953	6673.4291	3261.0116	4334.6064	8194.3937
ENSDART00000000250	6818.1499	5260.4752	6251.8022	6685.7098	6252.9801	9342.6993	7619.606	6699.855	8823.141	3441.1663	8319.8292	6570.9779
ENSDART00000000280	473.8298	395.4365	135.8341	816.0815	565.6062	285.329	637.9526	534.3211	514.1103	139.0656	230.2083	1220.369
ENSDART00000000382	93.0448	63.3827	72.2647	44.553	97.5369	96.9258	100.1444	78.8054	107.3863	165.2147	186.1417	203.655
